"Filename"	"Segment"	"WC"	"Analytic"	"Clout"	"Authentic"	"Tone"	"WPS"	"Sixltr"	"Dic"	"function."	"pronoun"	"ppron"	"i"	"we"	"you"	"shehe"	"they"	"ipron"	"article"	"prep"	"auxverb"	"adverb"	"conj"	"negate"	"verb"	"adj"	"compare"	"interrog"	"number"	"quant"	"affect"	"posemo"	"negemo"	"anx"	"anger"	"sad"	"social"	"family"	"friend"	"female"	"male"	"cogproc"	"insight"	"cause"	"discrep"	"tentat"	"certain"	"differ"	"percept"	"see"	"hear"	"feel"	"bio"	"body"	"health"	"sexual"	"ingest"	"drives"	"affiliation"	"achieve"	"power"	"reward"	"risk"	"focuspast"	"focuspresent"	"focusfuture"	"relativ"	"motion"	"space"	"time"	"work"	"leisure"	"home"	"money"	"relig"	"death"	"informal"	"swear"	"netspeak"	"assent"	"nonflu"	"filler"	"AllPunc"	"Period"	"Comma"	"Colon"	"SemiC"	"QMark"	"Exclam"	"Dash"	"Quote"	"Apostro"	"Parenth"	"OtherP"	"Study.Num"
"118.txt"	1	4939	90.3	53.4	1	26.78	617.38	0.06	17.27	7.69	4.8	4.8	1.94	0	2.85	0	0	0	2.57	0.14	0.12	0	0.06	0.04	0.12	0.02	0.02	0	11.56	0.02	0.06	0.06	0	0	0	0	0.16	0.04	0	0.02	0.02	0.12	0	0	0.04	0.06	0	0.12	0.06	0	0.06	0	0.12	0	0.04	0.08	0.02	0.08	0.04	0	0.04	0	0	0	0.08	0.02	0.04	0	0.04	0	0.02	0.22	0	0	0	0	11.99	0.06	11.91	2.49	0.06	0	66.59	1.58	2.81	4.25	2.37	2.11	1.07	1.66	1.32	2.23	3.24	43.96	118
"12.txt"	1	4327	96.64	46.95	29.52	41.66	29.64	28.98	66	36.54	3.91	0.79	0	0.23	0	0	0.55	3.12	7.86	13.8	5.41	1.69	4.65	0.83	7.9	5.62	3.77	0.65	5.45	1.8	1.99	1.39	0.51	0.05	0.16	0.16	3.05	0	0.02	0.02	0.05	14.65	6.47	3.58	0.74	1.73	0.79	3.21	2.47	0.67	1.48	0.23	0.12	0.05	0.05	0	0.07	2.82	0.6	1.11	1.11	0.44	0.12	3.44	4.25	0.42	8.83	0.53	4.71	3.19	3.54	0.07	0	1.09	0	0	0.21	0	0.14	0.07	0	0	23.92	5.25	7.9	0.39	0.86	0	0	2.52	0.6	0.07	5.34	0.99	12
"120.txt"	1	3802	89.66	48.74	1	26.64	345.64	0	16.18	6.81	4.66	4.63	2.52	0.03	2.05	0.03	0	0.03	1.84	0.18	0.03	0.05	0.11	0	0.05	0.03	0.03	0	11.81	0.03	0.05	0.05	0	0	0	0	0.24	0.03	0	0.03	0.05	0.08	0	0	0.03	0.05	0	0.08	0.03	0	0.03	0	0	0	0	0	0	0.21	0.08	0	0.13	0	0	0	0.05	0	0.18	0.03	0.16	0	0.05	0.11	0	0	0	0.08	10.99	0.03	10.84	2.05	0.18	0	64.36	2.39	2.1	2.05	1.81	2.21	2.1	1.58	1.71	2.13	3.71	42.56	120
"121.txt"	1	5648	90.71	51.77	1	26.36	353	0.02	17.17	6.71	4.16	4.14	1.91	0.02	2.14	0.07	0	0.02	2.23	0.18	0.09	0.02	0.11	0	0.09	0.04	0.04	0	10.78	0	0.07	0.05	0.02	0	0	0	0.34	0.04	0	0.05	0.12	0.07	0	0.05	0	0	0	0.02	0.05	0	0.05	0	0.09	0	0.07	0.02	0	0.25	0.05	0	0.19	0	0	0	0.09	0	0.18	0	0.18	0	0.12	0.09	0	0	0	0	12.16	0.12	12.06	2.43	0.11	0.04	66.61	2.09	1.98	2.2	2.11	2.25	1.75	2.6	2.05	2.18	3.97	43.43	121
"122.txt"	1	5148	89.88	49.07	1	26.09	367.71	0.08	17.39	6.93	4.41	4.41	2.35	0.04	2.02	0	0	0	2.02	0.19	0.21	0.08	0.1	0.06	0.27	0.02	0.02	0	11.34	0.02	0.1	0.06	0.04	0	0	0	0.27	0.04	0.02	0.06	0.08	0.04	0	0	0	0.02	0	0.04	0.06	0	0.06	0	0.16	0	0.12	0.04	0	0.31	0.08	0	0.23	0	0	0.02	0.25	0	0.17	0.04	0.12	0.02	0.12	0.08	0	0	0	0	11.87	0.12	11.69	2.1	0.12	0.02	65.15	1.94	2.21	2.2	1.77	2.62	2.04	1.65	1.77	1.9	4.14	42.91	122
"124.txt"	1	1168	91.21	51.71	1	25.77	389.33	0	16.87	6.34	3.51	3.51	1.46	0	2.05	0	0	0	2.23	0.26	0.09	0	0.17	0.26	0.17	0.09	0.09	0	11.04	0	0	0	0	0	0	0	0.26	0	0	0	0	0.09	0	0.09	0	0	0	0	0.09	0.09	0	0	0	0	0	0	0	0.17	0.09	0	0.09	0	0	0	0.09	0	0.09	0.09	0	0	0.17	0	0	0	0	0	12.5	0.17	12.41	2.31	0.09	0	61.13	2.31	1.54	1.8	1.88	1.8	1.46	1.46	2.48	2.14	3.34	40.92	124
"127.txt"	1	5022	89.69	50.64	1	24.82	502.2	0.04	17.58	7.05	4.58	4.56	2.25	0	2.29	0.02	0	0.02	1.99	0.22	0.16	0.06	0.14	0.06	0.18	0.08	0.08	0	11.01	0.04	0.08	0	0.06	0	0	0	0.34	0.04	0.02	0.06	0.06	0.08	0	0	0	0.04	0	0.08	0.02	0	0.02	0	0.16	0	0.08	0.1	0	0.28	0.04	0	0.24	0	0	0	0.12	0	0.08	0	0.08	0	0.14	0.08	0	0	0	0.04	12.23	0.08	12.03	2.25	0.2	0.02	65.23	1.81	1.63	1.65	1.99	1.95	1.79	1.93	2.31	2.43	4.06	43.67	127
"129.txt"	1	3142	93.14	49.75	1	34.62	3142	9.55	8.82	1.59	0.19	0	0	0	0	0	0	0.19	0	0.95	0	0.03	0.38	0.03	0.13	1.97	0.16	0	63.27	0.32	2.29	1.4	0.89	0	0.57	0	0.38	0	0	0.03	0.03	2.01	0	0.16	0	0.32	1.34	0.35	0.1	0.06	0.03	0	0.41	0	0.1	0.13	0.19	1.11	0	0.06	1.08	0	0.03	0	0.13	0	1.62	0.03	1.59	0.03	0.16	0.35	1.37	0.13	0.03	0	0.1	0.06	0.03	0	0	0	90.58	0.13	54.11	10.6	0	0	0	4.9	4.87	0	5.12	10.85	129
"13.txt"	1	7446	96.96	56.51	8.07	9.1	21.9	36.66	65.61	34.35	3.14	0.55	0.04	0.42	0	0.01	0.08	2.59	7.64	13.05	3.52	2.14	5.39	0.75	6.22	4.24	2.14	0.54	11.29	2.16	3.59	1.1	2.47	0.13	0.05	0.07	4.55	0.03	0.03	0.5	0.05	14.6	3.45	3.48	2.93	1.89	1.61	2.54	0.93	0.77	0.01	0.04	0.83	0	0.78	0	0.05	9.08	1.79	2.99	1.69	0.46	2.47	3.52	3.88	0.52	9.51	1.83	4.66	3.01	7.57	0.11	0.04	0.55	0	0	0.68	0	0.63	0.51	0.05	0	24.34	6.04	8.3	0.11	0.42	0.44	0	1.52	0.13	0.21	6.23	0.93	13
"132.txt"	1	1111	90.26	48.2	1	10.04	1111	10.62	12.96	4.86	0.54	0	0	0	0	0	0	0.54	0	1.26	2.61	0	0.36	0.09	2.61	1.17	0	0	62.47	0.09	2.7	0.72	1.98	0	1.53	0	0.18	0	0	0	0	1.62	0	0.27	0	0.09	0.72	0.54	0.09	0	0.09	0	0.63	0.09	0.18	0.18	0.18	2.07	0	0	1.98	0	0.09	0	2.61	0	1.8	0	1.71	0	0.54	0.18	1.26	0.36	0	0	0	0	0	0	0	0	95.23	0.18	57.34	10.44	0	0	0	5.49	5.22	0	5.4	11.16	132
