"Study.Num","replicate","Segment","WC","Analytic","Clout","Authentic","Tone","WPS","Sixltr","Dic","function.","pronoun","ppron","i","we","you","shehe","they","ipron","article","prep","auxverb","adverb","conj","negate","verb","adj","compare","interrog","number","quant","affect","posemo","negemo","anx","anger","sad","social","family","friend","female","male","cogproc","insight","cause","discrep","tentat","certain","differ","percept","see","hear","feel","bio","body","health","sexual","ingest","drives","affiliation","achieve","power","reward","risk","focuspast","focuspresent","focusfuture","relativ","motion","space","time","work","leisure","home","money","relig","death","informal","swear","netspeak","assent","nonflu","filler","AllPunc","Period","Comma","Colon","SemiC","QMark","Exclam","Dash","Quote","Apostro","Parenth","OtherP"
58,"0",1,17788,88.67,81.28,16.55,4.87,27.79,34.04,75.8,40.04,8.45,3.51,0.29,0.85,0.1,0.67,1.6,4.93,5.99,13.47,4.72,3.04,5.91,0.91,8.51,4.24,2.43,1.3,5.66,1.41,8.24,3.05,5.07,4,0.26,0.61,12.1,0.01,1.88,0.38,0.43,15.86,5.59,3.2,0.88,3.37,1.42,2.97,2.11,0.68,0.1,0.57,1.47,0.01,0.13,0.01,1.32,10.77,3.99,0.52,4.35,0.62,1.64,2.88,4.74,1.34,7.88,1.09,4.43,2.3,2.05,1.26,0.05,0.12,0.16,0,0.4,0,0.21,0.16,0.02,0,21.5,4.13,7.29,0.1,0.87,0.04,0,1.39,0.91,1.42,4.44,0.93
59,"1",1,18408,92.87,83.8,21.95,69.49,24.48,36.04,74.45,40.1,7.35,3.05,0.3,0.91,0.14,0.44,1.27,4.3,6.54,14.4,5.33,2.41,5.04,0.78,9.14,3.57,2.13,1.27,4.21,1.68,4.13,3.12,0.8,0.26,0.1,0.25,12.38,0.15,3.08,0.3,0.28,16.16,6.55,3.4,1.36,2.98,1.4,2.48,3.4,0.53,0.05,0.43,0.4,0.06,0.07,0.06,0.18,9.96,6.39,1.18,1.44,1.22,0.49,3.29,4.81,1.45,8.83,0.91,5.47,2.46,3.48,0.39,0.04,0.16,0.06,0.01,0.42,0,0.27,0.09,0.07,0,21.76,4.66,6.71,0.1,0.58,0.06,0,1.54,0.99,2.13,4.23,0.75
61,"0",1,6534,93.47,61.45,44.01,32.61,23.59,34.02,77.09,39.93,5.79,1.87,0.06,0.81,0.11,0.06,0.83,3.92,7.51,13.67,5,2.72,5.74,1.24,7.27,6.86,3.47,0.72,5.42,2.13,6.61,2.72,2.33,0.26,0.2,1.01,6.08,0.14,0.08,0.06,0.24,12.23,3.67,3.46,0.93,1.52,1.3,2.79,3.4,0.99,0.05,0.29,0.95,0.14,0.75,0.03,0.06,6,1.48,1.52,1.91,1.29,0.14,3.15,3.6,0.8,14.57,1.53,7.16,6.14,2.92,0.23,0.05,0.17,0.02,0.05,0.31,0,0.2,0.05,0.06,0,20.52,4.3,8.78,0.47,0.49,0.15,0,1.56,0.46,0.32,3.4,0.58
63,"0",1,9980,96.56,56.57,11.64,23.12,20.75,28.64,69.19,37.26,4.99,1.09,0.2,0.02,0.01,0.15,0.71,3.9,8.22,13.6,4.6,1.86,4.46,0.86,7.1,5.43,2.87,0.96,6.09,2.2,2.69,1.25,1.42,0.39,0.32,0.22,5.66,0.01,0.07,0.24,0.15,12.52,3.15,2.98,0.91,3.26,1.31,2.96,3.78,2.25,1.13,0.23,0.49,0.37,0.07,0.01,0.05,6.42,1.17,1.83,2.05,0.52,1.03,2.8,4.06,0.83,8.6,1.01,5.41,2.33,5.51,0.75,0.1,0.27,0.02,0.01,0.27,0.02,0.21,0.04,0.02,0,22.69,5.62,6.84,0.21,0.56,0.05,0,1.64,0.16,0.53,4.97,2.09
64,"0",1,17380,95.61,58.42,36.17,27.21,26.74,32.01,68.27,39.56,5.47,2.07,0.09,1.06,0.02,0.18,0.71,3.41,8.1,14.23,4.86,2.16,5.74,0.66,7.96,5.55,3.89,0.98,5.98,1.69,1.95,0.97,0.89,0.08,0.29,0.41,5.66,0,0.02,0.14,0.12,14.34,4.55,4.38,1.06,2.16,0.62,3.86,1.28,0.85,0.03,0.12,0.54,0.11,0.34,0,0.18,5.17,1.55,0.85,2.27,0.68,0.21,3.86,3.04,0.9,11.62,0.73,8.3,2.52,2.55,0.54,0.04,0.19,0.05,0.01,0.14,0.01,0.06,0.03,0.05,0,22.49,5.07,8.67,0.33,0.62,0.06,0,0.93,0.33,0.16,5.51,0.81
65,"0",1,15535,91.28,74.31,19.45,17.37,21.14,32.77,73.93,38.54,6.6,3,0.17,1.12,0.17,0.11,1.42,3.6,6.2,13.53,5.23,2.8,5.59,0.98,9.08,6.36,4.31,1.31,7.75,2.45,7.74,3.08,3.66,0.21,2.52,0.24,9.58,0.03,0.04,0.36,0.42,15.04,5.63,2.2,1.31,3.04,1.38,3.19,1.56,0.86,0.06,0.29,0.27,0.09,0.1,0.01,0.08,7.61,2.5,1.9,2.24,0.78,0.44,4.07,3.47,1.45,8.25,0.81,5.3,2.08,3.36,0.16,0.03,0.13,0.14,0.08,0.37,0.01,0.23,0.08,0.06,0,23.13,5.19,8.24,0.41,0.74,0.23,0.01,0.86,0.62,0.56,5.32,0.97
68,"0",1,13207,80.46,62.34,19.15,25.29,27.23,28.14,78.47,45.29,9.37,3.16,0.05,0.76,0.05,0.53,1.78,6.22,7.87,11.65,6.91,3.33,6.24,2.14,12.49,3.77,2.92,1.91,5.63,1.77,2.71,1.33,1.36,0.27,0.23,0.49,8.5,0.04,0.01,0.36,0.3,16.98,4.56,4.05,1.45,4.14,1.17,3.96,1.48,0.45,0.05,0.35,0.87,0.6,0.18,0,0.11,5.51,1.33,0.81,2.04,1.18,0.67,5.16,5.17,2.05,9.18,2.33,3.94,3.32,2.97,0.23,0.02,0.37,0.42,0.05,0.31,0.01,0.2,0.1,0.02,0,18.05,3.99,6.79,0.16,0.39,0.16,0.01,0.64,0.92,0.73,3.76,0.52
69,"1",1,12444,92.2,67.27,20.24,70.81,27.96,31.82,73.89,37.81,5.45,1.27,0.03,0.67,0,0.13,0.44,4.18,6.14,13.24,5.54,2.48,5.6,0.93,8.33,4.85,3.26,1.07,5.96,2.66,6.69,3.96,1.57,0.59,0.34,0.43,8.41,0.02,0.06,0.47,0.35,14.89,5.07,2.33,0.87,3.38,1.38,3.63,1.84,1.04,0.09,0.13,1.97,0.45,0.11,0.01,1.41,7.24,1.69,3.09,2.35,0.47,0.26,3.28,4.28,1.01,8.26,0.66,5.75,1.91,3.18,1.6,0.05,0.12,0.03,0,0.17,0,0.05,0.02,0.1,0,25.3,4.4,9.06,0.18,0.78,0.06,0,1.66,0.56,0.35,6.28,1.97
71,"0",1,15281,96.16,54.06,17.27,18.97,24.53,30.55,70.06,40.1,4.44,0.98,0.07,0.35,0.1,0.05,0.41,3.46,9.68,13.23,5.84,2.89,4.44,0.99,9.73,4.64,3.03,0.84,8.54,3.23,3.61,1.56,2.02,0.34,0.33,0.56,4.69,0,0.01,0.09,0.09,14.25,4.46,3.18,1.61,2.37,1.51,3.08,0.87,0.73,0.02,0.07,0.4,0.06,0.29,0.01,0.07,7.24,1.54,1.82,2.21,1.03,1.33,3.94,4.81,0.76,9.4,0.96,6.18,2.3,3.42,0.33,0.01,0.53,0.09,0.02,0.33,0,0.22,0.1,0.01,0,22.92,4.24,7.25,0.32,1.08,0.09,0.01,1.41,0.86,0.16,5.57,1.94
72,"0",1,14554,95.62,65.09,27.42,86.93,25.27,34.06,74.04,37.5,3.69,1.09,0.02,0.38,0.01,0,0.67,2.6,7.53,14.2,5,3.38,5.44,0.76,8.23,6.2,3.35,1.07,6.65,1.92,10,6.73,3.18,0.04,1.94,0.67,7.71,0.03,0.03,0,0,14.39,5.14,4.02,1.39,2.08,0.89,3.45,0.98,0.58,0.1,0.05,0.76,0.03,0.52,0.01,0.21,9.33,2.41,1.57,5.17,0.4,0.16,3.59,3.29,0.87,10.18,1.1,5.85,3.31,3.06,0.19,0.1,0.16,0.1,0,0.4,0,0.34,0.01,0.05,0,21.6,5.05,8.09,0.23,0.65,0.03,0,0.75,0.14,0.45,5.48,0.74
73,"1",1,9550,90.64,68.86,15.63,63.29,26.75,34.28,72.72,41.64,8.09,3.63,0,0.85,0.07,0.16,2.55,4.46,7.07,13.73,5.71,2.73,5.58,0.7,8.52,6.04,4.46,1.28,5.02,4.43,3.77,2.79,0.81,0.23,0.27,0.08,9.03,0,0.09,0.08,0.08,12.95,2.96,1.7,1.4,2.87,1.24,4.32,1.83,0.71,0.37,0.29,1.78,0.04,1.13,0,0.61,7.13,3.33,1.03,1.97,0.85,0.26,3.45,3.91,0.76,9.21,0.7,6.96,1.43,3.43,0.82,0.22,0.22,0.01,0.03,0.25,0,0.05,0.08,0.12,0,19.64,4.88,6.54,0.17,0.48,0.05,0,0.99,0.44,0.58,4.72,0.79
77,"0",1,6322,95.79,60.55,35.14,50.57,29.4,32.54,79.61,41.54,6.99,2.44,0.27,0.09,0,0.22,1.85,4.56,9.17,14.36,3.91,2.64,5.95,0.35,6.82,4.4,2.66,1.82,3.91,2.63,3.07,2.07,0.74,0.17,0.02,0.41,7.02,0,0.24,0.13,0.11,13.89,4.02,3.08,0.96,2.44,2.01,3.83,1.06,0.32,0.03,0.17,1.2,0.09,0.47,0.03,0.7,11.83,0.81,7.56,3.12,4.63,0.51,1.98,5.09,0.78,11.78,2.45,5.3,3.99,9.54,0.68,0.05,0.54,0.11,0.02,0.05,0,0.03,0.02,0,0,18.08,4.18,7.48,0.13,1.11,0.09,0,0.05,0.32,0.46,2.85,1.42
80,"0",1,12776,94.84,74.24,23.61,49.83,27.01,31.21,70,39.43,7.08,3.12,0.32,1.26,0.12,0.06,1.36,3.96,7.74,14.06,4.7,2.42,4.56,0.71,8.59,4.12,2.72,1.39,6.29,2.32,3.37,2.28,0.99,0.13,0.24,0.31,9.02,0.02,0.11,0.28,0.06,13.66,4.44,3.58,1.05,2.07,1.3,2.86,0.99,0.63,0.13,0.12,0.88,0.17,0.35,0.16,0.44,7.44,2.42,1.55,2.67,1.2,0.45,3.72,3.67,0.85,10.18,1.68,5.93,2.72,3.35,0.23,0.05,0.09,0.07,0.01,0.31,0,0.2,0.09,0.03,0,22.61,4.57,6.97,0.18,0.49,0.07,0.05,3.28,0.44,0.59,5.02,0.95
81,"0",1,13882,96.56,74.29,15.53,20.13,29.04,32.22,73.94,40.97,6.84,2.97,0.37,0.63,0.03,0.17,1.77,3.87,8.69,15.07,4.82,1.53,5.02,0.53,8.08,4.79,3.69,0.88,8.37,1.34,5.37,2.48,2.85,0.26,0.45,0.27,9.39,0.01,0.51,0.18,0.14,13.35,5.79,2.96,1.22,1.74,0.39,2.64,2.2,0.81,0.04,0.33,0.42,0.06,0.13,0.01,0.19,10.17,4.2,1.48,4.31,0.61,0.22,3.98,3.23,0.64,7.5,1.19,4.61,1.97,3.89,0.32,0.01,0.19,0.71,0.01,0.3,0,0.24,0.01,0.05,0,22.1,4.29,8.64,0.32,0.49,0,0,0.71,0.2,1.09,6.03,0.32
82,"0",1,1209,92.25,71.59,11.56,76.27,22.39,34.08,73.12,34.82,4.47,1.99,0,1.32,0,0.17,0.5,2.48,5.13,13.15,4.8,2.65,6.29,0.66,7.69,4.3,2.73,0.91,7.69,2.56,3.72,3.23,0.5,0,0.33,0.17,7.36,0.08,0,0.41,0.33,11.83,4.8,3.39,0.25,1.32,0.5,2.32,2.07,1.41,0,0.33,1.24,1.16,0,0,0.08,12.82,2.07,3.47,7.28,2.65,0.25,3.72,3.8,0.58,7.11,0.66,4.38,2.07,10.84,0.17,0.08,2.73,0,0,1.32,0,1.16,0,0.17,0,26.96,5.29,9.76,0.25,0.5,0.25,0,1.24,0.17,2.23,5.62,1.65
84,"1",1,11189,95.88,49.75,48.29,33,28.47,37.88,71.38,38.39,4.33,1.48,0,0.41,0.08,0.13,0.87,2.85,7.93,13.95,4.95,2.53,5.33,0.9,7.7,4.9,3.28,1.22,7.44,2.99,2.42,1.4,0.98,0.27,0.53,0.14,4.63,0.13,0.04,0.09,0.24,20.56,10.65,2.99,2.14,2.53,0.69,4.28,1.14,0.97,0.07,0.04,0.46,0.13,0.27,0.08,0.09,3.58,0.78,0.94,1.73,0.46,0.4,3.13,3.93,0.51,8.08,0.88,4.94,2.18,3.49,0.06,0.05,0.4,0.02,0.07,0.21,0,0.11,0.02,0.08,0,22.54,4.79,7.16,0.39,0.76,0,0,2.73,0.29,0.46,5.13,0.83
86,"0",1,11849,94.39,63.77,22.41,24.96,26.57,37.98,69.31,35.64,4.41,1.7,0.01,0.57,0.01,0.08,1.03,2.72,6.35,13.15,5.27,2,5.07,0.97,7.9,4.59,2.84,0.92,5.98,1.82,3.49,1.57,1.62,0.57,0.72,0.57,6.51,0.01,0.03,0.07,0.1,15.35,6.85,3.71,1.25,1.68,0.98,2.59,1.64,1.11,0.02,0.31,0.74,0.13,0.26,0.09,0.45,7.59,0.99,1.33,4.95,0.41,0.92,4.08,3.3,0.6,8.32,1.07,4.95,2.43,5.78,0.4,0,0.24,0.03,0,0.24,0,0.14,0.02,0.08,0,25.05,5.48,8.29,0.35,0.96,0.03,0,2.36,0.34,0.35,6.14,0.74
87,"0",1,12523,91.46,68.11,15.97,9.48,24.18,33,74.84,41.12,6.86,2.23,0.23,0.42,0.13,0.16,1.29,4.63,7.56,13.5,6.08,2.83,5.46,1.14,9.18,4.88,2.98,1.14,5.89,1.78,4.13,1.39,2.72,1.75,1.83,0.07,8.54,0.01,0.98,0.18,0.24,13.58,3.83,2.91,1.45,2.83,1.17,2.99,2.35,1.83,0.06,0.2,0.48,0.18,0.09,0.02,0.05,8.02,3.08,1.29,2.64,1.37,1.52,4.12,3.27,1.55,9.57,0.86,6.09,2.57,4.62,0.22,0.1,0.28,0.02,0.01,0.3,0.02,0.23,0.02,0.03,0,19.58,4.44,7.11,0.14,0.31,0.03,0.01,1.49,0.76,0.49,3.83,0.97
89,"1",1,15715,93.16,73.69,27.1,87.77,30.16,33.48,79.5,39.48,6.54,2.47,0.37,0.7,0.04,0.25,1.11,4.07,7.23,13.42,4.94,2.56,5.28,0.99,8.52,6.23,3.26,1.25,4.84,2.27,5.5,4.48,0.85,0.18,0.06,0.18,10.83,0.08,1.96,0.87,0.9,14.71,4.02,1.87,2.51,3.3,1.59,3.76,1.11,0.67,0.12,0.19,2.03,0.1,0.94,0.97,0.02,10.68,5.57,2.23,1.88,1.72,0.17,3.03,4.18,1.91,11.95,0.97,6.31,4.73,3.3,0.18,0.06,0.29,0.01,0,0.83,0.11,0.53,0.24,0.06,0,23.15,3.9,5.94,0.29,0.47,0.06,0.01,3.47,1.29,0.76,5.54,1.44
93,"0",1,21346,94.83,81.11,18.74,13.62,23.8,34.77,74.06,35.48,5.6,2.84,0.28,0.86,0.06,0.2,1.44,2.76,6.99,12.83,3.17,2.71,5.18,0.84,5.72,4.31,2.34,1.06,5.68,1.52,7.27,3.12,4.02,1.75,0.47,1.52,11.52,0.06,1.22,0.12,0.15,13.55,3.79,3.87,1.68,1.99,1.58,2.48,1.44,0.38,0.05,0.62,0.62,0.04,0.41,0,0.15,14.62,3.74,2.35,4.54,3.16,2.76,2.16,2.77,1.5,11.01,1.54,6.65,2.86,4.11,0.18,0.03,0.15,0.03,0.02,0.17,0.02,0.08,0.06,0,0,22.78,5.02,7.14,0.03,0.25,0.11,0,2.93,0.47,0.74,5.5,0.59
94,"1",1,14218,92.59,58.78,16.86,39.61,25.39,32.41,72.75,38.25,4.9,1.62,0.3,0,0,0.06,1.26,3.28,7.53,12.46,6.11,2.95,5.04,1.23,9.83,4.94,3.36,0.68,6.65,1.81,4.02,2.27,1.5,0.37,0.2,0.53,6.51,0,0.03,0.08,0.12,14.91,5.36,4.66,1.5,1.85,1.19,2.72,1.27,0.61,0.32,0.15,0.16,0.05,0.09,0.01,0.05,7.28,0.28,3.79,1.96,1.37,1.02,5.2,4.26,1.24,8.41,1.15,4.28,2.97,7.67,0.11,0.01,0.38,0.01,0.01,0.3,0.03,0.03,0.08,0.16,0,23.55,4.8,8.26,0.11,0.98,0.01,0,2.48,0.35,0.11,5.04,1.42
97,"0",1,11523,91.69,68.8,9.94,48.65,22.2,36.16,66.99,37.66,6.03,2.44,0.16,1.21,0.11,0.02,0.93,3.59,6.96,12.31,5.81,2.45,5.35,0.75,8.16,4.26,2.32,1.48,6.14,2,4.66,2.91,1.67,0.75,0.82,0.65,7.67,0.02,0.06,0.1,0.07,13.25,2.97,2.85,1.65,3.53,0.88,3.18,2.19,1.64,0.03,0.22,0.3,0.1,0.1,0.05,0.04,8.24,2.85,1.02,3.05,0.55,1.83,3.62,4.2,1.76,8.63,0.8,5.63,2.26,3.81,0.16,0.04,0.23,0.04,0,0.14,0,0.03,0.06,0.04,0,20.01,4.88,6.73,0.33,0.44,0.09,0,1.15,0.55,0.89,4.36,0.62
104,"0",1,2962,95.18,61.18,36.56,59.67,23.14,29.57,70.22,38.08,5.03,1.76,0.03,0.88,0.2,0.03,0.61,3.27,7.19,14.28,5.57,2.4,5.17,0.51,9.08,6.58,5.13,1.28,7.63,2.5,2.36,2.06,0.27,0,0,0,5,0,0.03,0,0.03,12.96,3.78,3.81,1.65,2.26,0.3,2.7,2.94,1.05,0.07,0.34,0.57,0,0.37,0,0.24,4.39,1.15,1.32,1.69,0.91,0.37,3.17,4.25,1.35,14.11,1.49,7.36,5.44,3.71,0.03,0,0.64,0.03,0,0.17,0,0.14,0.07,0,0,22.82,5.23,6.99,0.78,0.1,0.14,0,0.54,0.74,0.24,4.76,3.31
106,"0",1,4707,93.5,63.71,44.02,28.25,26.01,26.98,71.02,39.43,5.86,2.27,0.19,0.87,0.15,0.04,1.02,3.59,8.43,12.51,4.59,2.68,6.2,0.89,8.63,5.35,3.27,1.19,7.92,1.72,1.42,0.72,0.57,0.02,0.08,0.23,7.31,0.02,0.02,0.13,0,13.28,3.55,2.76,0.55,2.51,1.59,3.74,3.55,2.78,0.45,0.23,0.28,0.11,0.11,0,0.06,5.37,1.34,1.08,3.44,0.21,0.25,4.8,3.46,0.64,13.21,0.55,9.41,3.29,2.8,0.23,0.04,0.11,0.02,0,0.3,0,0.19,0,0.11,0,27.62,4.91,8.54,0.3,0.38,0.15,0.04,1.66,1.66,2.15,5.08,2.76
107,"0",1,3951,94.36,63.66,30.08,50.32,20.79,30.73,74.74,40.65,6.58,2.25,0,0.78,0.08,0,1.39,4.33,8.5,13.46,6,2.46,4.28,0.94,11.06,3.52,2.15,1.37,6.53,1.47,1.87,1.59,0.28,0.03,0.08,0.13,6.28,0,0.03,0.08,0.05,16.93,5.9,4.78,0.58,2.51,2.35,2.71,1.9,1.37,0.05,0.1,0.48,0,0.13,0.05,0.33,7.59,1.59,3.67,2.08,2.1,0.13,5.11,4.35,0.58,9.85,0.89,6.05,2.99,7.49,0.2,0.1,0.33,0.03,0,0.28,0,0.15,0.15,0.03,0,24.78,5.69,8.53,0.28,0.76,0.13,0,1.82,0.86,1.7,3.59,1.42
110,"0",1,4269,95.24,60.63,16.01,62.2,28.65,31.32,71.52,37.08,4.31,1.55,0.37,0.47,0,0.19,0.52,2.76,6.65,14.24,5.27,2.76,4.68,0.98,7.8,6.3,4.15,0.54,5.88,2.34,4.73,3.19,1.26,0.07,0.09,0.8,7.61,0,0.37,2.3,1.64,15.91,4.45,3.82,1.03,2.9,1.29,4.03,2.58,1.43,0.02,0.05,2.25,0.09,0.21,1.94,0.05,4.4,1.52,0.66,1.38,0.89,0.23,2.6,3.91,0.73,7.4,0.87,4.33,1.94,2.44,0.16,0.05,0.14,0,0,0.66,0,0.59,0.16,0.05,0,21.15,4.1,6.42,0.33,0.54,0.05,0,1.9,0.19,1.55,4.87,1.22
111,"1",1,3975,98.14,44.3,13.8,49.66,25.98,26.36,65.11,37.13,3.77,0.98,0,0.45,0.08,0,0.45,2.79,10.36,13.43,4.58,1.81,4.33,0.5,6.82,5.01,3.52,0.55,12.25,1.99,2.62,1.94,0.65,0.18,0.08,0.35,2.72,0.03,0,0,0,15.65,3.07,5.13,1.01,1.48,2.59,4.18,0.68,0.35,0,0.13,0.43,0,0.28,0,0.15,5.08,0.86,1.16,3.07,0.68,0.15,3.27,2.79,0.81,8.23,0.78,5.23,2.24,1.51,0.7,0.5,1.41,0.03,0.03,0.55,0,0.55,0,0,0,22.62,4.4,8.5,0.13,0.13,0.13,0,1.91,0.45,0.55,5.46,0.96
112,"1",1,1078,95.55,54.44,34.15,85.69,22,31.08,65.86,34.14,4.17,1.48,0,0.74,0.19,0.28,0.28,2.69,6.96,12.43,4.08,2.13,4.73,0.93,7.61,5.19,3.25,0.83,7.33,1.95,6.22,4.82,1.39,0,0.09,1.11,3.9,0,0,0.19,0.28,14.01,4.36,2.69,0.56,3.25,2.88,2.78,1.86,1.11,0.19,0.19,0.56,0.28,0.09,0,0.19,5.57,1.3,0.93,3.62,0.28,0.09,3.34,3.34,0.74,12.24,1.86,7.05,3.25,2.04,0.09,0.37,0.09,0,0.19,1.11,0,0.37,0.74,0,0,33.77,5.1,9,0.09,1.21,0.09,0,3.8,2.97,3.53,5.57,2.41
113,"1",1,1011,89.59,63.55,3.99,78.36,24.07,30.07,65.78,35.31,6.23,2.37,0,0.89,0,0,1.48,3.86,5.24,11.87,5.54,2.87,4.85,0.49,8.61,4.75,3.07,1.29,12.66,2.87,4.15,3.46,0.59,0,0,0.59,7.52,0,0,0,0,14.94,2.47,3.26,1.19,2.47,2.67,4.45,0.49,0.49,0,0,2.08,0,1.98,0,0.1,7.32,1.09,1.09,2.27,2.87,0.69,3.07,4.55,1.68,4.75,0.3,2.87,1.38,2.77,0.2,0.1,0.4,0.1,0,0.49,0,0.49,0,0,0,31.45,5.34,9.69,0.2,0.59,0,0,1.29,0,0.59,11.67,2.08
114,"1",1,4524,94.64,53.63,60.32,39.61,29.19,30.08,65.85,32.94,4.02,0.88,0.02,0.49,0.07,0,0.31,3.14,5.7,12.51,4.13,1.72,5.61,0.64,5.92,5.5,3.74,0.51,7.65,2.5,1.86,1.22,0.44,0,0.02,0.04,4.07,0.02,0,0.02,0,11.89,4.4,1.66,0.6,2.39,0.73,3.05,1.11,0.69,0.18,0.07,0.31,0.2,0.13,0,0,4.16,1.17,0.6,1.24,1.06,0.27,5.39,2.52,2.25,15.69,0.38,5.92,9.44,2.79,0.09,0.04,0.11,0,0.02,0.6,0,0.46,0.07,0.07,0,23.08,4.95,8.16,0.24,0.91,0.02,0,1.48,0.18,0.51,5.84,0.8
115,"0",1,2615,91.9,62.03,36.99,24.55,25.14,22.72,77.4,43.79,5.81,2.18,0.11,0.5,0,0.76,0.8,3.63,10.4,12.47,5.43,4.97,6.54,1.03,10.63,4.44,2.98,2.49,6.35,2.33,1.03,0.46,0.54,0.08,0.04,0.08,7.38,0,0,0.84,0.23,13.04,4.4,2.07,1.19,2.37,1.07,3.67,7.42,4.93,2.26,0.19,0.88,0.8,0.08,0,0,5.12,0.88,0.5,3.33,0.42,0.15,4.44,4.93,0.5,12.77,0.73,7.38,4.74,1.8,1.07,0.42,0.11,0.04,0,0.08,0,0,0,0.08,0,21.22,3.98,7.19,0.08,0.54,0.34,0.19,1.84,0.76,2.22,2.83,1.26
116,"1",1,1412,97.69,58.13,10.02,73.39,26.64,28.47,74.36,41.36,4.11,1.13,0,0.21,0.35,0,0.57,2.97,10.34,15.44,5.81,3.33,4.32,0.71,10.91,7.29,5.45,0.78,9.63,3.68,3.26,2.9,0.35,0,0.07,0.21,5.81,0.14,0,0.14,0,15.72,2.97,2.55,1.35,5.95,1.2,3.61,0.57,0.28,0.14,0.07,0.35,0.21,0.07,0,0.07,4.39,0.5,1.91,1.13,2.12,0.07,2.05,7.93,0.71,8.07,0.42,4.32,3.26,1.77,0.14,0.07,0.35,0.07,0,0.14,0,0.07,0.07,0,0,22.88,4.04,7.15,0.14,0.85,0.07,0,2.48,0.57,0.85,4.67,2.05
117,"1",1,3639,97.36,54.8,26.95,35.87,26.18,26.85,69,41.49,5.55,1.87,0.16,1.4,0,0,0.3,3.68,9.15,15.83,5.14,2.64,4.31,0.63,7.5,5.11,3.76,0.82,5.96,2.69,1.13,0.82,0.25,0,0,0.16,3.41,0.03,0,0.55,0.03,11.32,2.64,2.78,0.74,2.69,1.29,2.78,1.37,1.15,0.03,0.08,0.14,0.08,0.03,0,0,4.92,1.68,1.13,1.92,0.33,0.88,3.3,3.74,0.38,12.48,0.96,6.95,4.51,3.49,0.05,0.47,0.44,0,0,0.19,0.03,0.05,0.05,0.03,0,19.02,4.2,6.98,0.63,0.69,0,0,1.15,0,0.03,4.45,0.88
118,"0",1,4083,93.47,60.35,15.13,51.92,24.75,30.47,70.9,39.75,6.47,1.86,0,0.83,0,0,1.03,4.6,8.65,12.52,5.63,2.13,5.31,0.93,9.48,3.89,2.77,1.15,6.96,2.03,2.79,2.06,0.66,0.1,0.05,0.29,5.88,0,0,0.17,0.02,15.01,5.09,4.95,1.13,2.42,0.71,3.16,1.96,1.3,0.2,0,1.59,0.73,0.1,0.05,0.78,6.44,1.45,1.81,2.47,0.76,0.32,3.99,4.04,0.64,7.69,0.66,4.41,2.72,4.02,0.47,0.34,0.51,0.02,0,0.24,0,0.17,0.05,0,0,19.5,4.68,6.96,0.37,0.27,0.02,0,2.55,0.05,0.2,3.92,0.49
120,"0",1,2991,96.42,53.61,16.6,1.14,26.24,33.23,65.03,35.21,3.74,0.67,0,0.43,0.03,0,0.2,3.08,8.32,12.3,5.02,1.37,4.95,0.77,7.86,5.32,3.34,0.84,6.92,2.04,5.12,0.9,4.18,2.98,0.27,0.2,3.88,0,0.03,0.7,0.03,12.44,2.61,3.48,0.53,1.91,2.11,2.67,1.24,0.64,0.07,0.23,0.8,0.74,0.07,0,0.03,4.05,0.74,0.77,1.87,0.27,0.53,3.51,3.24,1.3,10.43,2.01,6.02,2.51,2.31,0.27,0.17,0.1,0.03,0,0.4,0,0.3,0,0.17,0,23.27,4.61,8.59,0.4,0.94,0,0,1.97,0.2,0.37,4.61,1.57
121,"1",1,4687,95.68,64.96,19.75,49.6,27.25,30.36,68,35.82,4.22,1.07,0,0.62,0,0,0.45,3.16,6.64,13.76,4.97,2.37,4.37,0.92,7.77,6.17,2.69,1,8.24,1.79,7.13,4.14,2.86,0.06,0.36,0.64,6.74,0,0.06,0.04,0.09,12.89,4.29,4.05,1,1.51,0.75,2.6,0.81,0.49,0,0.15,0.7,0.43,0.23,0,0.04,5.53,1.39,1.39,2.37,1.17,0.09,3.88,2.79,0.7,10.01,0.68,7.08,2.18,3.24,0.41,0.02,0.66,0,0.02,0.62,0,0.53,0.04,0.09,0,23.68,4.54,8.47,0.09,0.53,0,0.04,2.09,0.09,0.3,5.31,2.22
122,"1",1,4140,94.79,53.29,37.31,28.18,26.2,33.07,70.75,40.31,4.59,1.18,0,0.65,0,0,0.53,3.41,8.36,14.06,5.65,3.67,5.68,0.56,8.89,4.64,2.92,1.18,7.63,2.68,4.54,1.18,1.04,0.07,0.02,0.72,4.47,0.02,0.02,0.1,0,15.97,5.65,1.91,0.97,3.33,1.71,3.74,2.61,1.86,0.36,0.17,0.41,0.1,0.29,0,0.02,3.31,0.99,1.09,1.09,0.48,0.27,4.03,3.82,0.29,10.63,1.11,7.56,2.05,2.73,0.34,0.02,0.27,0.02,0,0.72,0,0.51,0,0.22,0,18.31,4.3,7.83,0.1,0.34,0.02,0,0.8,0.34,0.46,3.33,0.8
