Filename,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
33.txt,1,14322,98.34,58.53,47.32,27.74,30.22,29.54,68.91,38.85,3.79,0.55,0.03,0.29,0.02,0.00,0.20,3.24,9.62,15.22,4.69,1.97,4.32,0.52,7.18,3.99,2.23,0.61,7.44,3.52,1.39,0.75,0.63,0.03,0.08,0.42,4.53,0.00,0.00,0.20,0.03,13.13,5.06,3.25,0.62,2.82,0.97,2.14,1.49,1.03,0.07,0.25,0.15,0.04,0.07,0.00,0.03,5.31,2.36,0.85,2.02,0.34,0.26,2.74,3.41,0.68,13.99,0.87,7.32,4.87,2.21,0.14,0.03,0.20,0.01,0.00,0.08,0.00,0.05,0.01,0.02,0.00,19.80,4.46,6.95,0.22,1.05,0.03,0.00,0.87,0.48,0.15,4.64,0.94
36.txt,1,13042,97.63,52.12,18.42,25.65,26.14,31.51,68.36,42.09,4.71,1.00,0.00,0.44,0.00,0.00,0.56,3.70,10.72,15.07,5.17,2.58,5.15,0.84,8.74,4.06,2.79,1.13,6.67,2.07,1.66,0.80,0.81,0.06,0.12,0.18,3.89,0.00,0.01,0.03,0.00,13.82,4.51,2.56,1.10,2.37,1.33,2.96,1.55,1.04,0.18,0.12,0.10,0.04,0.02,0.00,0.05,3.90,1.25,0.94,1.09,0.53,0.67,3.99,3.29,0.38,9.24,0.79,5.57,2.89,4.82,0.18,0.02,0.26,0.02,0.00,0.26,0.01,0.08,0.12,0.05,0.00,18.52,4.82,7.61,0.07,0.40,0.05,0.00,0.96,0.12,0.17,3.79,0.54
37.txt,1,7797,95.39,41.73,39.75,31.00,23.21,26.38,66.22,38.49,4.08,0.82,0.00,0.51,0.00,0.03,0.28,3.26,8.81,12.81,5.64,2.50,5.00,1.30,7.77,5.16,3.94,1.14,7.28,1.91,2.10,1.21,0.90,0.04,0.27,0.15,2.55,0.01,0.03,0.31,0.03,13.63,4.60,2.72,0.80,2.55,0.87,3.86,2.05,1.77,0.10,0.06,0.15,0.08,0.06,0.00,0.01,4.10,0.82,1.03,1.91,0.83,0.21,3.83,3.62,0.63,11.80,0.99,6.84,4.07,3.36,0.17,0.04,0.18,0.00,0.00,0.24,0.00,0.18,0.21,0.03,0.00,20.10,4.81,6.71,0.17,0.64,0.09,0.00,2.32,0.13,0.22,4.03,0.99
39.txt,1,14478,97.41,47.32,22.60,40.01,22.48,28.11,70.04,38.89,4.05,1.60,0.41,0.03,0.08,0.02,1.06,2.45,10.69,12.98,4.58,2.74,4.79,0.68,8.59,5.01,3.00,0.95,5.44,2.49,3.87,2.33,1.54,0.97,0.03,0.32,3.43,0.01,0.01,0.03,0.01,13.10,3.56,2.94,0.85,2.74,1.30,3.13,2.18,1.70,0.03,0.70,0.77,0.08,0.61,0.01,0.10,5.28,0.58,1.46,1.33,1.70,1.43,2.73,4.70,1.02,10.26,1.46,5.65,3.13,3.22,1.08,0.06,0.77,0.22,0.02,0.45,0.00,0.29,0.07,0.12,0.00,19.21,5.13,6.41,0.10,0.55,0.01,0.00,1.11,0.52,0.75,3.96,0.67
43.txt,1,14001,91.42,62.53,27.31,7.87,24.14,26.98,76.77,42.20,8.13,3.50,0.42,1.12,0.11,0.30,1.55,4.63,8.06,13.41,5.26,2.56,5.45,1.42,9.60,5.04,3.41,1.30,6.64,1.91,8.62,3.47,5.00,0.65,2.98,1.09,8.21,0.01,0.12,0.13,0.34,17.23,5.86,3.54,1.41,2.36,1.31,4.35,1.77,0.89,0.21,0.29,0.42,0.14,0.12,0.08,0.08,10.23,2.08,1.09,6.40,0.76,0.80,3.65,4.16,1.11,8.46,1.11,5.24,2.12,3.04,0.74,0.06,0.21,0.96,0.04,0.35,0.06,0.20,0.09,0.03,0.00,26.30,4.72,8.84,0.45,0.21,0.13,0.00,1.66,0.98,0.72,5.83,2.76
44.txt,1,13288,92.77,56.13,33.51,27.40,19.77,32.20,76.39,40.08,5.97,2.04,0.01,0.89,0.07,0.00,1.08,3.93,7.64,13.33,5.73,2.81,5.62,0.89,8.56,5.98,3.80,0.94,4.46,2.49,3.26,1.66,1.56,0.70,0.14,0.27,5.76,0.02,0.02,0.20,0.08,18.85,4.81,3.39,1.05,3.38,3.52,4.28,2.86,2.40,0.05,0.35,1.07,0.48,0.29,0.01,0.33,6.22,2.05,0.78,2.65,0.65,0.56,3.63,4.15,0.81,10.40,0.83,7.71,1.78,3.73,0.33,0.03,0.28,0.05,0.01,0.22,0.00,0.16,0.04,0.03,0.00,17.80,5.43,6.53,0.09,0.27,0.05,0.00,1.20,0.44,0.16,2.83,0.81
46.txt,1,13171,96.16,54.42,47.68,38.46,27.44,30.09,71.49,37.78,4.02,1.06,0.08,0.49,0.02,0.01,0.46,2.96,6.07,15.87,4.71,3.04,5.27,0.60,6.97,7.93,4.55,0.63,7.43,2.84,2.90,1.81,1.09,0.18,0.03,0.17,5.10,0.09,0.02,0.18,0.20,13.80,4.41,2.44,0.93,1.78,1.48,3.83,0.92,0.71,0.08,0.11,0.10,0.05,0.05,0.00,0.00,8.00,1.15,1.22,4.39,1.05,0.76,2.75,3.93,0.56,13.27,0.69,7.07,5.52,3.37,0.11,0.08,0.11,0.00,0.00,0.40,0.00,0.14,0.13,0.14,0.00,21.22,4.53,7.10,0.11,0.96,0.10,0.00,2.61,0.43,0.49,4.00,0.89
48.txt,1,16535,95.40,80.74,20.20,37.43,27.11,33.12,74.79,38.57,6.01,2.32,0.10,0.67,0.30,0.18,1.08,3.69,7.21,14.67,4.05,2.53,5.31,0.85,7.35,4.54,3.20,1.16,5.72,1.61,4.61,2.61,1.95,1.06,0.31,0.24,11.98,1.89,0.80,1.16,0.24,13.29,4.30,3.14,0.92,2.07,1.37,3.31,1.23,0.74,0.07,0.31,0.56,0.06,0.34,0.04,0.09,10.74,4.67,1.03,3.14,1.28,1.26,3.53,3.72,0.48,9.39,1.29,5.29,2.80,3.94,0.25,0.05,0.22,0.07,0.93,0.27,0.01,0.13,0.05,0.08,0.00,22.64,5.12,8.04,0.16,0.77,0.09,0.00,1.46,0.45,0.76,4.84,0.95
49.txt,1,10970,94.88,55.32,35.15,51.16,22.57,32.26,74.00,39.70,4.78,1.38,0.04,0.47,0.25,0.04,0.58,3.39,7.68,14.36,5.92,2.22,6.18,0.57,9.18,6.31,4.13,0.82,4.41,2.13,3.18,2.22,0.87,0.14,0.15,0.17,4.89,0.01,0.01,0.10,0.08,15.49,4.14,4.79,1.75,3.04,0.98,3.66,1.20,0.66,0.08,0.28,0.77,0.24,0.18,0.00,0.35,6.83,0.77,3.31,2.08,2.19,0.74,3.88,3.49,1.31,12.67,4.17,4.86,3.79,5.06,0.39,0.04,0.17,0.06,0.00,0.13,0.00,0.06,0.01,0.05,0.00,20.97,5.54,7.15,0.54,0.36,0.09,0.01,0.89,1.38,0.15,3.17,1.69
52.txt,1,14703,94.59,60.89,30.47,41.64,22.52,34.39,71.96,38.98,4.62,1.96,0.03,0.82,0.08,0.10,0.92,2.67,7.29,14.30,4.71,2.96,6.05,1.23,8.05,6.16,3.33,1.10,6.54,1.61,5.22,2.71,1.84,0.52,0.20,0.77,6.18,0.01,0.04,0.08,0.14,16.51,6.39,4.45,0.94,2.26,1.53,3.05,2.71,0.64,0.37,0.80,1.76,0.96,0.34,0.12,0.54,4.94,1.24,0.97,1.23,1.41,0.54,4.07,2.73,0.63,9.49,1.57,5.11,2.85,3.52,0.96,0.03,0.16,0.11,0.01,0.17,0.00,0.08,0.05,0.04,0.00,21.93,4.94,8.43,0.07,0.32,0.05,0.00,0.70,1.71,0.29,4.73,0.68
